xunit, xunit_low, fitted_data, total_model, Nnbb_bege, Ac228_central_fiber_shroud, Ac228_holders, Ac228_mini_shrouds, Bi212Tl208_central_fiber_shroud, Bi212Tl208_holders, Bi212Tl208_mini_shrouds, Bi212Tl208_outer_fiber_shroud, Co60_holders, K40_cables, K40_central_fiber_shroud, K40_close, K40_holders, K40_mini_shrouds, K40_outer_fiber_shroud, K42_above_array, K42_inside_ms, K42_nplus_bege, K42_nplus_invcoax, K42_nplus_semicoax, K42_outside_ms, Pb214Bi214_cables, Pb214Bi214_central_fiber_shroud, Pb214Bi214_mini_shrouds, Pb214Bi214_outer_fiber_shroud, Zn65_invcoax, alpha_high_energy_bege, 1sig_p, 1sig_m, 2sig_p, 2sig_m, 3sig_p, 3sig_m, norm_pois_res
2092.5, 2085, 8, 4.93003, 0, 0, 8.11151e-06, 0, 0.0425858, 1.04731, 0.0592001, 0.154631, 0.179516, 0, 0, 0, 0, 0, 0, 0.156717, 0.875358, 0.140052, 0.00234697, 0.012681, 0.0447497, 0.685473, 0.00921039, 0.0549278, 0.0167824, 0, 1.44848, 7.5, 2.5, 9.5, 0.5, 12.5, 0, 1.31248
2107.5, 2100, 12, 6.95801, 0, 0, 0, 0, 0.110229, 2.70042, 0.159864, 0.408066, 0.180063, 0, 0, 0, 0, 0, 0, 0.172326, 0.860787, 0.137631, 0.0031293, 0.00317025, 0.0499705, 0.643816, 0.00867858, 0.0528139, 0.0164949, 0, 1.45054, 9.5, 3.5, 12.5, 1.5, 16.5, 0.5, 1.77314
2122.5, 2115, 14, 7.54956, 0, 0, 5.67806e-05, 7.18788e-06, 0.0447062, 1.11629, 0.0628832, 0.162668, 0.178351, 0, 0, 0, 0, 0, 0, 0.141732, 0.842168, 0.131963, 0, 0.00951076, 0.0454956, 3.0242, 0.0406605, 0.234037, 0.0626131, 0, 1.45221, 10.5, 4.5, 13.5, 2.5, 16.5, 0.5, 2.12693
2137.5, 2130, 4, 4.66663, 0, 0, 0, 0, 0.0457264, 1.12006, 0.0650064, 0.164362, 0.178797, 0, 0, 0, 0, 0, 0, 0.177945, 0.806819, 0.12938, 0.000782325, 0, 0.0486653, 0.422337, 0.00619375, 0.0352209, 0.0113331, 0, 1.454, 6.5, 1.5, 9.5, 0.5, 12.5, 0, -0.241351
2152.5, 2145, 4, 4.75547, 0, 0, 0, 0, 0.0464971, 1.14829, 0.0656595, 0.167969, 0.182152, 0, 0, 0, 0, 0, 0, 0.177945, 0.78847, 0.126633, 0, 0.0063405, 0.0486653, 0.486059, 0.00633587, 0.0375096, 0.011273, 0, 1.45567, 6.5, 1.5, 9.5, 0.5, 12.5, 0, -0.281345
2167.5, 2160, 2, 4.75365, 0, 0, 0, 0, 0.0470728, 1.1867, 0.0669914, 0.172283, 0.178968, 0, 0, 0, 0, 0, 0, 0.191057, 0.777136, 0.121536, 0.000782325, 0.00951076, 0.0555642, 0.435122, 0.00612957, 0.0364788, 0.0108317, 0, 1.45748, 6.5, 1.5, 9.5, 0.5, 12.5, 0, -1.3383
2182.5, 2175, 3, 4.76336, 0, 0, 0, 0, 0.0478563, 1.23238, 0.0693349, 0.175116, 0.181844, 0, 0, 0, 0, 0, 0, 0.145478, 0.740708, 0.118568, 0, 0.012681, 0.0509028, 0.474923, 0.00602412, 0.0362167, 0.0119316, 0, 1.4594, 6.5, 1.5, 9.5, 0.5, 12.5, 0, -0.784695
2197.5, 2190, 11, 13.6036, 0, 0, 0, 0, 0.0497272, 1.23209, 0.0705105, 0.178677, 0.181947, 0, 0, 0, 0, 0, 0, 0.135488, 0.697264, 0.119348, 0.00234697, 0.00951076, 0.043631, 8.4554, 0.118158, 0.66904, 0.179304, 0, 1.46113, 17.5, 9.5, 21.5, 6.5, 25.5, 3.5, -0.682473
2212.5, 2205, 6, 6.76367, 0, 0, 0, 0, 0.0495641, 1.26819, 0.0720856, 0.184751, 0.184309, 0, 0, 0, 0, 0, 0, 0.113011, 0.646804, 0.115996, 0.000782325, 0.0063405, 0.0322571, 2.35317, 0.0331556, 0.189103, 0.0513569, 0, 1.46279, 9.5, 3.5, 12.5, 1.5, 15.5, 0.5, -0.233906
2227.5, 2220, 6, 4.42531, 0, 0, 0, 0, 0.0507026, 1.29918, 0.0737684, 0.189361, 0.189685, 0, 0, 0, 0, 0, 0, 0.113635, 0.652201, 0.111958, 0, 0, 0.035054, 0.218799, 0.00271865, 0.0183617, 0.00519185, 0, 1.46469, 6.5, 1.5, 9.5, 0.5, 11.5, 0, 0.769843
2242.5, 2235, 5, 4.44181, 0, 0, 0, 0, 0.0519882, 1.33896, 0.0763398, 0.195589, 0.198381, 0, 0, 0, 0, 0, 0, 0.10864, 0.623058, 0.107651, 0.000782325, 0.0063405, 0.0331894, 0.210756, 0.00266363, 0.0161953, 0.00483414, 0, 1.46644, 6.5, 1.5, 9.5, 0.5, 11.5, 0, 0.327331
2257.5, 2250, 7, 4.42735, 0, 0, 0, 0, 0.0539103, 1.38355, 0.0792263, 0.202715, 0.204715, 0, 0, 0, 0, 0, 0, 0.094904, 0.562614, 0.105952, 0.00234697, 0.00317025, 0.0318842, 0.208281, 0.00300748, 0.0173134, 0.00518851, 0, 1.46857, 6.5, 1.5, 9.5, 0.5, 11.5, 0, 1.17722
2272.5, 2265, 4, 4.477, 0, 0, 0, 0, 0.0548985, 1.42813, 0.0821973, 0.213134, 0.211632, 0, 0, 0, 0, 0, 0, 0.0874116, 0.555059, 0.100925, 0, 0.00317025, 0.0266634, 0.219623, 0.00303498, 0.0159333, 0.00503807, 0, 1.47015, 6.5, 1.5, 9.5, 0.5, 11.5, 0, -0.154316
2287.5, 2280, 4, 5.14143, 0, 0, 0, 0, 0.0570124, 1.49058, 0.0855679, 0.218359, 0.207215, 0, 0, 0, 0, 0, 0, 0.0986503, 0.548313, 0.0976544, 0.000782325, 0.00317025, 0.0233071, 0.753937, 0.0100677, 0.058719, 0.0160703, 0, 1.47202, 7.5, 2.5, 9.5, 0.5, 12.5, 0, -0.449748
2302.5, 2295, 4, 4.48459, 0, 0, 0, 0, 0.058394, 1.52057, 0.0876143, 0.227091, 0.154624, 0, 0, 0, 0, 0, 0, 0.0774217, 0.544265, 0.0943725, 0.00156465, 0.00317025, 0.0249853, 0.193021, 0.00254902, 0.0164574, 0.00418223, 0, 1.47431, 6.5, 1.5, 9.5, 0.5, 11.5, 0, -0.157843
2317.5, 2310, 4, 4.37485, 0, 0, 0, 0, 0.0600186, 1.5722, 0.0914049, 0.235321, 0.133498, 0, 0, 0, 0, 0, 0, 0.0636856, 0.475726, 0.0916609, 0, 0, 0.0214426, 0.138786, 0.00197136, 0.00985347, 0.00332974, 0, 1.47596, 6.5, 1.5, 9.5, 0.5, 11.5, 0, -0.106445
