bin_low_edge, bin_center, fitted_data, total_model, Nnbb, K40, K42, Co60, Ac228, Bi212Tl208, Pb214Bi214, Zn65, alpha
4815, 4822.5, 36, 29.1031, 0, 0, 0, 0, 0, 0, 0, 0, 29.1031
4830, 4837.5, 30, 30.5405, 0, 0, 0, 0, 0, 0, 0, 0, 30.5405
4845, 4852.5, 38, 32.1042, 0, 0, 0, 0, 0, 0, 0, 0, 32.1042
4860, 4867.5, 39, 33.8265, 0, 0, 0, 0, 0, 0, 0, 0, 33.8265
4875, 4882.5, 33, 35.7439, 0, 0, 0, 0, 0, 0, 0, 0, 35.7439
4890, 4897.5, 37, 37.8675, 0, 0, 0, 0, 0, 0, 0, 0, 37.8675
4905, 4912.5, 42, 40.2516, 0, 0, 0, 0, 0, 0, 0, 0, 40.2516
4920, 4927.5, 45, 42.9136, 0, 0, 0, 0, 0, 0, 0, 0, 42.9136
4935, 4942.5, 58, 45.9248, 0, 0, 0, 0, 0, 0, 0, 0, 45.9248
4950, 4957.5, 53, 49.3154, 0, 0, 0, 0, 0, 0, 0, 0, 49.3154
4965, 4972.5, 62, 53.1902, 0, 0, 0, 0, 0, 0, 0, 0, 53.1902
4980, 4987.5, 51, 57.5975, 0, 0, 0, 0, 0, 0, 0, 0, 57.5975
4995, 5002.5, 88, 62.7241, 0, 0, 0, 0, 0, 0, 0, 0, 62.7241
5010, 5017.5, 63, 68.6358, 0, 0, 0, 0, 0, 0, 0, 0, 68.6358
5025, 5032.5, 79, 75.5556, 0, 0, 0, 0, 0, 0, 0, 0, 75.5556
5040, 5047.5, 102, 83.7262, 0, 0, 0, 0, 0, 0, 0, 0, 83.7262
5055, 5062.5, 102, 93.4617, 0, 0, 0, 0, 0, 0, 0, 0, 93.4617
5070, 5077.5, 101, 105.198, 0, 0, 0, 0, 0, 0, 0, 0, 105.198
5085, 5092.5, 129, 119.489, 0, 0, 0, 0, 0, 0, 0, 0, 119.489
5100, 5107.5, 123, 137.185, 0, 0, 0, 0, 0, 0, 0, 0, 137.185
5115, 5122.5, 163, 159.326, 0, 0, 0, 0, 0, 0, 0, 0, 159.326
5130, 5137.5, 152, 184.852, 0, 0, 0, 0, 0, 0, 0, 0, 184.852
5145, 5152.5, 188, 202.223, 0, 0, 0, 0, 0, 0, 0, 0, 202.223
5160, 5167.5, 180, 189.136, 0, 0, 0, 0, 0, 0, 0, 0, 189.136
5175, 5182.5, 168, 151.739, 0, 0, 0, 0, 0, 0, 0, 0, 151.739
5190, 5197.5, 118, 117.79, 0, 0, 0, 0, 0, 0, 0, 0, 117.79
5205, 5212.5, 85, 93.0785, 0, 0, 0, 0, 0, 0, 0, 0, 93.0785
5220, 5227.5, 47, 53.1449, 0, 0, 0, 0, 0, 0, 0, 0, 53.1449
5235, 5242.5, 22, 21.2037, 0, 0, 0, 0, 0, 0, 0, 0, 21.2037
5250, 5257.5, 6, 1.58486, 0, 0, 0, 0, 0, 0, 0, 0, 1.58486
5265, 5272.5, 3, 0.410479, 0, 0, 0, 0, 0, 0, 0, 0, 0.410479
5280, 5287.5, 2, 0.472227, 0, 0, 0, 0, 0, 0, 0, 0, 0.472227
5295, 5302.5, 2, 0.550275, 0, 0, 0, 0, 0, 0, 0, 0, 0.550275
5310, 5317.5, 2, 0.649386, 0, 0, 0, 0, 0, 0, 0, 0, 0.649386
5325, 5332.5, 0, 0.778166, 0, 0, 0, 0, 0, 0, 0, 0, 0.778166
5340, 5347.5, 0, 0.949764, 0, 0, 0, 0, 0, 0, 0, 0, 0.949764
5355, 5362.5, 2, 1.17163, 0, 0, 0, 0, 0, 0, 0, 0, 1.17163
5370, 5377.5, 1, 1.27188, 0, 0, 0, 0, 0, 0, 0, 0, 1.27188
5385, 5392.5, 1, 0.959273, 0, 0, 0, 0, 0, 0, 0, 0, 0.959273
5400, 5407.5, 2, 0.944343, 0, 0, 0, 0, 0, 0, 0, 0, 0.944343
5415, 5422.5, 0, 1.3838, 0, 0, 0, 0, 0, 0, 0, 0, 1.3838
5430, 5437.5, 1, 2.30082, 0, 0, 0, 0, 0, 0, 0, 0, 2.30082
5445, 5452.5, 1, 4.5822, 0, 0, 0, 0, 0, 0, 0, 0, 4.5822
5460, 5467.5, 1, 5.82754, 0, 0, 0, 0, 0, 0, 0, 0, 5.82754
5475, 5482.5, 1, 0.130435, 0, 0, 0, 0, 0, 0, 0, 0, 0.130435
5490, 5497.5, 0, 0.0336924, 0, 0, 0, 0, 0, 0, 0, 0, 0.0336924
5505, 5512.5, 1, 0.0358406, 0, 0, 0, 0, 0, 0, 0, 0, 0.0358406
5520, 5527.5, 0, 0.0381079, 0, 0, 0, 0, 0, 0, 0, 0, 0.0381079
5535, 5542.5, 0, 0.0406951, 0, 0, 0, 0, 0, 0, 0, 0, 0.0406951
5550, 5557.5, 1, 0.0434721, 0, 0, 0, 0, 0, 0, 0, 0, 0.0434721
5565, 5572.5, 0, 0.0465692, 0, 0, 0, 0, 0, 0, 0, 0, 0.0465692
5580, 5587.5, 0, 0.0500576, 0, 0, 0, 0, 0, 0, 0, 0, 0.0500576
5595, 5602.5, 0, 0.0539218, 0, 0, 0, 0, 0, 0, 0, 0, 0.0539218
5610, 5617.5, 1, 0.0583235, 0, 0, 0, 0, 0, 0, 0, 0, 0.0583235
5625, 5632.5, 0, 0.0632034, 0, 0, 0, 0, 0, 0, 0, 0, 0.0632034
5640, 5647.5, 1, 0.0688276, 0, 0, 0, 0, 0, 0, 0, 0, 0.0688276
5655, 5662.5, 1, 0.0750916, 0, 0, 0, 0, 0, 0, 0, 0, 0.0750916
5670, 5677.5, 0, 0.0823595, 0, 0, 0, 0, 0, 0, 0, 0, 0.0823595
5685, 5692.5, 0, 0.090736, 0, 0, 0, 0, 0, 0, 0, 0, 0.090736
5700, 5707.5, 0, 0.100373, 0, 0, 0, 0, 0, 0, 0, 0, 0.100373
5715, 5722.5, 0, 0.111738, 0, 0, 0, 0, 0, 0, 0, 0, 0.111738
5730, 5737.5, 0, 0.124979, 0, 0, 0, 0, 0, 0, 0, 0, 0.124979
5745, 5752.5, 0, 0.140842, 0, 0, 0, 0, 0, 0, 0, 0, 0.140842
5760, 5767.5, 1, 0.159617, 0, 0, 0, 0, 0, 0, 0, 0, 0.159617
5775, 5782.5, 1, 0.182612, 0, 0, 0, 0, 0, 0, 0, 0, 0.182612
5790, 5797.5, 2, 0.210746, 0, 0, 0, 0, 0, 0, 0, 0, 0.210746
5805, 5812.5, 0, 0.246041, 0, 0, 0, 0, 0, 0, 0, 0, 0.246041
5820, 5827.5, 0, 0.290634, 0, 0, 0, 0, 0, 0, 0, 0, 0.290634
5835, 5842.5, 1, 0.348295, 0, 0, 0, 0, 0, 0, 0, 0, 0.348295
5850, 5857.5, 1, 0.424788, 0, 0, 0, 0, 0, 0, 0, 0, 0.424788
5865, 5872.5, 1, 0.528699, 0, 0, 0, 0, 0, 0, 0, 0, 0.528699
5880, 5887.5, 0, 0.645099, 0, 0, 0, 0, 0, 0, 0, 0, 0.645099
5895, 5902.5, 0, 0.598758, 0, 0, 0, 0, 0, 0, 0, 0, 0.598758
5910, 5917.5, 1, 0.457547, 0, 0, 0, 0, 0, 0, 0, 0, 0.457547
5925, 5932.5, 1, 0.594546, 0, 0, 0, 0, 0, 0, 0, 0, 0.594546
5940, 5947.5, 1, 0.968132, 0, 0, 0, 0, 0, 0, 0, 0, 0.968132
5955, 5962.5, 1, 1.85955, 0, 0, 0, 0, 0, 0, 0, 0, 1.85955
5970, 5977.5, 0, 3.47893, 0, 0, 0, 0, 0, 0, 0, 0, 3.47893
5985, 5992.5, 0, 0.382468, 0, 0, 0, 0, 0, 0, 0, 0, 0.382468
