bin_low_edge, bin_center, fitted_data, total_model, Nnbb, K40, K42, Co60, Ac228, Bi212Tl208, Pb214Bi214, alpha
2700, 2707.5, 3, 4.72215, 0, 0, 0.44868, 0, 0, 0.0110496, 0.0136861, 4.24873
2715, 2722.5, 2, 4.73849, 0, 0, 0.399485, 0, 0, 0.0141598, 0.0629559, 4.26189
2730, 2737.5, 2, 4.73545, 0, 0, 0.430112, 0, 0, 0.0145691, 0.0136861, 4.27708
2745, 2752.5, 3, 4.70686, 0, 0, 0.390874, 0, 0, 0.0169427, 0.00703855, 4.292
2760, 2767.5, 4, 4.76024, 0, 0, 0.355488, 0, 0, 0.0148965, 0.0836806, 4.30617
2775, 2782.5, 4, 4.72254, 0, 0, 0.353933, 0, 0, 0.0177612, 0.0297183, 4.32112
2790, 2797.5, 3, 4.69205, 0, 0, 0.325451, 0, 0, 0.0236543, 0.00703855, 4.3359
2805, 2812.5, 1, 4.70058, 0, 0, 0.317709, 0, 0, 0.023818, 0.00586546, 4.35319
2820, 2827.5, 6, 4.66147, 0, 0, 0.256679, 0, 0, 0.0219354, 0.0140771, 4.36878
2835, 2842.5, 1, 4.6988, 0, 0, 0.288944, 0, 0, 0.0210351, 0.00664752, 4.38217
2850, 2857.5, 4, 4.68511, 0, 0, 0.259383, 0, 0, 0.0207896, 0.00742958, 4.39751
2865, 2872.5, 5, 4.68876, 0, 0, 0.22915, 0, 0, 0.0213625, 0.0238529, 4.41439
2880, 2887.5, 6, 4.70642, 0, 0, 0.207095, 0, 0, 0.0287289, 0.0418403, 4.42875
2895, 2902.5, 2, 4.69448, 0, 0, 0.222191, 0, 0, 0.0206259, 0.00547443, 4.44619
2910, 2917.5, 5, 4.75057, 0, 0, 0.203706, 0, 0, 0.022181, 0.0625649, 4.46212
2925, 2932.5, 8, 4.70171, 0, 0, 0.188204, 0, 0, 0.0215262, 0.013295, 4.47868
2940, 2947.5, 9, 4.6951, 0, 0, 0.171176, 0, 0, 0.0249638, 0.0050834, 4.49388
2955, 2962.5, 6, 4.69713, 0, 0, 0.154904, 0, 0, 0.0254549, 0.00469237, 4.51208
2970, 2977.5, 4, 4.78277, 0, 0, 0.157944, 0, 0, 0.0236543, 0.0723407, 4.52883
2985, 2992.5, 4, 4.74978, 0, 0, 0.151334, 0, 0, 0.0272556, 0.0261991, 4.54499
3000, 3007.5, 3, 4.74344, 0, 0, 0.130511, 0, 0, 0.0282378, 0.0222887, 4.5624
3015, 3022.5, 4, 4.72738, 0, 0, 0.115667, 0, 0, 0.0295474, 0.00234618, 4.57982
3030, 3037.5, 3, 4.73376, 0, 0, 0.109226, 0, 0, 0.0266008, 0.000782061, 4.59716
3045, 3052.5, 3, 4.84587, 0, 0, 0.104493, 0, 0, 0.0258642, 0.102059, 4.61346
3060, 3067.5, 3, 4.76563, 0, 0, 0.11036, 0, 0, 0.0222628, 0.000782061, 4.63223
3075, 3082.5, 3, 4.78964, 0, 0, 0.0894536, 0, 0, 0.0248001, 0.025417, 4.64997
3090, 3097.5, 6, 4.78044, 0, 0, 0.0875629, 0, 0, 0.0220991, 0.00234618, 4.66843
3105, 3112.5, 5, 4.77709, 0, 0, 0.0663473, 0, 0, 0.0217717, 0, 4.68898
3120, 3127.5, 4, 4.81332, 0, 0, 0.0749318, 0, 0, 0.0316754, 0.000391031, 4.70632
3135, 3142.5, 3, 4.8251, 0, 0, 0.0774808, 0, 0, 0.0229995, 0.00156412, 4.72306
3150, 3157.5, 4, 4.81268, 0, 0, 0.0455951, 0, 0, 0.0188252, 0.00391031, 4.74435
3165, 3172.5, 4, 4.8358, 0, 0, 0.0540953, 0, 0, 0.017843, 0.000782061, 4.76308
3180, 3187.5, 4, 4.90032, 0, 0, 0.0670489, 0, 0, 0.0425613, 0.00703855, 4.78368
3195, 3202.5, 8, 5.37971, 0, 0, 0.0382569, 0, 0, 0.540119, 0, 4.80133
3210, 3217.5, 5, 4.85565, 0, 0, 0.029001, 0, 0, 0.00482907, 0, 4.82182
3225, 3232.5, 5, 4.88604, 0, 0, 0.0385664, 0, 0, 0.00532016, 0, 4.84216
3240, 3247.5, 4, 4.89326, 0, 0, 0.0253606, 0, 0, 0.00474722, 0, 4.86315
3255, 3262.5, 1, 4.9174, 0, 0, 0.0280078, 0, 0, 0.00679344, 0, 4.8826
3270, 3277.5, 7, 4.93918, 0, 0, 0.0281617, 0, 0, 0.0063842, 0, 4.90463
3285, 3292.5, 5, 4.95122, 0, 0, 0.0193249, 0, 0, 0.0058931, 0, 4.926
