bin_low_edge, bin_center, fitted_data, total_model, Nnbb, K40, K42, Co60, Ac228, Bi212Tl208, Pb214Bi214, alpha
2520, 2527.5, 3, 6.81145, 0, 0, 1.17083, 0, 0, 1.3786, 0.0448001, 4.21722
2535, 2542.5, 8, 6.77752, 0, 0, 1.20909, 0, 0, 1.27871, 0.0592631, 4.23045
2550, 2557.5, 4, 6.58315, 0, 0, 1.08088, 0, 0, 1.21159, 0.0455056, 4.24517
2565, 2572.5, 4, 6.50198, 0, 0, 1.04352, 0, 0, 1.1549, 0.0462111, 4.25735
2580, 2587.5, 8, 6.41061, 0, 0, 1.01697, 0, 0, 1.07838, 0.0430363, 4.27222
2595, 2602.5, 12, 6.5303, 0, 0, 0.967285, 6.56033e-05, 0, 1.22833, 0.0469166, 4.2877
2610, 2617.5, 73, 61.7708, 0, 0, 0.97419, 0, 0, 56.4587, 0.0352756, 4.30262
2625, 2632.5, 6, 5.88975, 0, 0, 0.916697, 0, 0, 0.61622, 0.0426835, 4.31415
2640, 2647.5, 3, 5.77606, 0, 0, 0.823251, 0, 0, 0.592531, 0.0310426, 4.32924
2655, 2662.5, 6, 5.70293, 0, 0, 0.744914, 0, 0, 0.573264, 0.0388032, 4.34595
2670, 2677.5, 5, 5.72349, 0, 0, 0.73845, 0, 0, 0.589057, 0.0359812, 4.36001
2685, 2692.5, 9, 6.03249, 0, 0, 0.704705, 0, 0, 0.713738, 0.239522, 4.37452
2700, 2707.5, 3, 5.65543, 0, 0, 0.653211, 0, 0, 0.582503, 0.0296315, 4.39008
2715, 2722.5, 2, 5.7208, 0, 0, 0.59794, 0, 0, 0.626406, 0.092775, 4.40368
2730, 2737.5, 3, 5.65048, 0, 0, 0.570802, 0, 0, 0.629248, 0.0310426, 4.41939
2745, 2752.5, 4, 5.66402, 0, 0, 0.561992, 0, 0, 0.643225, 0.0239874, 4.43481
2760, 2767.5, 4, 5.70341, 0, 0, 0.519832, 0, 0, 0.621589, 0.112529, 4.44946
2775, 2782.5, 6, 5.65367, 0, 0, 0.513015, 0, 0, 0.62988, 0.0458583, 4.46492
2790, 2797.5, 3, 5.64507, 0, 0, 0.449454, 0, 0, 0.697077, 0.0183433, 4.48019
2805, 2812.5, 2, 5.63999, 0, 0, 0.478069, 0, 0, 0.645514, 0.0183433, 4.49806
2820, 2827.5, 9, 5.48689, 0, 0, 0.377023, 0, 0, 0.574528, 0.0211654, 4.51418
2835, 2842.5, 1, 5.47116, 0, 0, 0.395513, 0, 0, 0.533862, 0.0137575, 4.52802
2850, 2857.5, 5, 5.41423, 0, 0, 0.356587, 0, 0, 0.496829, 0.0169323, 4.54388
2865, 2872.5, 6, 5.39507, 0, 0, 0.315546, 0, 0, 0.486801, 0.0313953, 4.56133
2880, 2887.5, 6, 5.49705, 0, 0, 0.269785, 0, 0, 0.603112, 0.0479749, 4.57617
2895, 2902.5, 2, 5.31689, 0, 0, 0.290404, 0, 0, 0.422052, 0.0102299, 4.5942
2910, 2917.5, 6, 5.38756, 0, 0, 0.277651, 0, 0, 0.429395, 0.0698458, 4.61067
2925, 2932.5, 10, 5.36925, 0, 0, 0.297547, 0, 0, 0.426632, 0.0172851, 4.62779
2940, 2947.5, 10, 5.31067, 0, 0, 0.238432, 0, 0, 0.4245, 0.00423308, 4.6435
2955, 2962.5, 7, 5.29352, 0, 0, 0.206684, 0, 0, 0.418183, 0.00634962, 4.66231
2970, 2977.5, 4, 5.32354, 0, 0, 0.199475, 0, 0, 0.373885, 0.0705513, 4.67963
2985, 2992.5, 5, 5.2712, 0, 0, 0.190983, 0, 0, 0.357777, 0.026104, 4.69633
3000, 3007.5, 3, 5.24452, 0, 0, 0.167994, 0, 0, 0.340326, 0.0218709, 4.71433
3015, 3022.5, 6, 5.2128, 0, 0, 0.170672, 0, 0, 0.308031, 0.00176378, 4.73233
3030, 3037.5, 3, 5.17208, 0, 0, 0.148276, 0, 0, 0.271787, 0.00176378, 4.75026
3045, 3052.5, 4, 5.23198, 0, 0, 0.139172, 0, 0, 0.230806, 0.0948915, 4.76711
3060, 3067.5, 6, 5.15006, 0, 0, 0.150204, 0, 0, 0.212645, 0.000705513, 4.78651
3075, 3082.5, 3, 5.14712, 0, 0, 0.125968, 0, 0, 0.192667, 0.0236347, 4.80485
3090, 3097.5, 6, 5.11899, 0, 0, 0.121437, 0, 0, 0.171505, 0.00211654, 4.82393
3105, 3112.5, 5, 5.1072, 0, 0, 0.10039, 0, 0, 0.161635, 0, 4.84517
3120, 3127.5, 4, 5.46907, 0, 0, 0.109963, 0, 0, 0.495645, 0.000352756, 4.86311
3135, 3142.5, 3, 5.10424, 0, 0, 0.0935111, 0, 0, 0.129261, 0.00105827, 4.88041
3150, 3157.5, 4, 5.11783, 0, 0, 0.0833038, 0, 0, 0.128234, 0.00388032, 4.90242
3165, 3172.5, 4, 5.12774, 0, 0, 0.0874475, 0, 0, 0.117811, 0.000705513, 4.92178
3180, 3187.5, 5, 5.2513, 0, 0, 0.0911742, 0, 0, 0.210355, 0.00670237, 4.94307
3195, 3202.5, 10, 6.91504, 0, 0, 0.0658215, 0, 0, 1.8879, 0, 4.96132
3210, 3217.5, 5, 5.10939, 0, 0, 0.063567, 0, 0, 0.0633275, 0, 4.9825
3225, 3232.5, 6, 5.12484, 0, 0, 0.0581512, 0, 0, 0.0631696, 0, 5.00352
3240, 3247.5, 4, 5.12856, 0, 0, 0.0441159, 0, 0, 0.0592215, 0, 5.02522
3255, 3262.5, 1, 5.14476, 0, 0, 0.0398926, 0, 0, 0.0595374, 0, 5.04533
3270, 3277.5, 7, 5.17358, 0, 0, 0.0499672, 0, 0, 0.0555103, 0, 5.0681
3285, 3292.5, 6, 5.1791, 0, 0, 0.0394777, 0, 0, 0.0494302, 0, 5.09019
3300, 3307.5, 4, 5.18322, 0, 0, 0.022456, 0, 0, 0.0487985, 0, 5.11197
3315, 3322.5, 4, 5.20137, 0, 0, 0.0198613, 0, 0, 0.0438239, 0, 5.13769
3330, 3337.5, 9, 5.2267, 0, 0, 0.0227913, 0, 0, 0.0438239, 0, 5.16009
3345, 3352.5, 6, 5.23456, 0, 0, 0.0162863, 0, 0, 0.0364015, 0, 5.18187
3360, 3367.5, 6, 5.24889, 0, 0, 0.0119066, 0, 0, 0.0313479, 0, 5.20563
3375, 3382.5, 3, 5.2916, 0, 0, 0.00797784, 0, 0, 0.0539311, 0, 5.2297
3390, 3397.5, 1, 5.28796, 0, 0, 0.00794996, 0, 0, 0.0254258, 0, 5.25458
3405, 3412.5, 4, 5.30847, 0, 0, 0.00480767, 0, 0, 0.0251099, 0, 5.27856
