xunit, xunit_low, fitted_data, total_model, Ac228_central_fiber_shroud, Ac228_holders, Ac228_mini_shrouds, Bi212Tl208_central_fiber_shroud, Bi212Tl208_holders, Bi212Tl208_mini_shrouds, Bi212Tl208_outer_fiber_shroud, Co60_holders, K40_cables, K40_central_fiber_shroud, K40_close, K40_holders, K40_mini_shrouds, K40_outer_fiber_shroud, K42_above_array, K42_inside_ms, K42_nplus_bege, K42_nplus_invcoax, K42_nplus_semicoax, K42_outside_ms, Pb214Bi214_cables, Pb214Bi214_central_fiber_shroud, Pb214Bi214_mini_shrouds, Pb214Bi214_outer_fiber_shroud, Zn65_invcoax, 1sig_p, 1sig_m, 2sig_p, 2sig_m, 3sig_p, 3sig_m, norm_pois_res
875, 864, 8.45455, 9.10196, 0.035147, 0.356792, 0.0298371, 0.0146457, 0.240232, 0.0126339, 0.0119186, 0.309171, 0.186559, 0.0417735, 1.06392, 0.313434, 0.15502, 0.0422313, 3.75869, 0.421064, 0.00233505, 0.0971948, 0.292259, 0.761497, 0.7217, 0.0172713, 0.0716822, 0.013273, 0.131671, 9.75, 8.43182, 10.3864, 7.79545, 11.0227, 7.15909, -1.00652
897, 886, 8.45455, 9.13549, 0.0367689, 0.374873, 0.0311997, 0.0143243, 0.23666, 0.0123951, 0.0119033, 0.318456, 0.186921, 0.0426186, 1.08429, 0.319358, 0.157988, 0.0422147, 3.737, 0.429176, 0.00240115, 0.0997594, 0.296185, 0.759295, 0.701017, 0.0166643, 0.069528, 0.0132251, 0.141259, 9.79545, 8.47727, 10.4318, 7.84091, 11.0682, 7.20455, -1.05671
911.5, 908, 9.71429, 10.911, 0.180608, 1.95448, 0.160836, 0.0138244, 0.227446, 0.01184, 0.0111126, 0.32469, 0.189507, 0.0433951, 1.09968, 0.321198, 0.160231, 0.0423953, 3.67311, 0.423915, 0.00236722, 0.0970989, 0.292809, 0.748898, 0.684936, 0.0163948, 0.0683136, 0.0130931, 0.148798, 12.2143, 9.64286, 13.5, 8.35714, 14.6429, 7.07143, -0.958518
927, 915, 10.3333, 8.97656, 0.0246963, 0.249464, 0.0203934, 0.0131362, 0.21404, 0.0111609, 0.010801, 0.332874, 0.190665, 0.0431576, 1.11048, 0.329504, 0.161804, 0.0419732, 3.64273, 0.428677, 0.00233406, 0.0994137, 0.294964, 0.745091, 0.750436, 0.017318, 0.0737456, 0.0147713, 0.152932, 9.60417, 8.35417, 10.2292, 7.72917, 10.8125, 7.14583, 2.2185
950.5, 939, 8.82609, 8.98871, 0.0252896, 0.257505, 0.0210913, 0.0124892, 0.204436, 0.0106663, 0.010603, 0.346669, 0.206757, 0.0459416, 1.18879, 0.356273, 0.173213, 0.0434794, 3.6045, 0.431428, 0.0023491, 0.0995872, 0.305117, 0.73635, 0.656533, 0.0154706, 0.0648377, 0.0122723, 0.157066, 9.63043, 8.32609, 10.2391, 7.71739, 10.8478, 7.1087, -0.260127
967.5, 962, 9.90909, 9.80193, 0.0953751, 1.02382, 0.0847488, 0.0118546, 0.193166, 0.0100453, 0.0101048, 0.357479, 0.198996, 0.0445459, 1.13462, 0.342557, 0.165321, 0.0421732, 3.5812, 0.438667, 0.00234108, 0.104441, 0.309246, 0.73954, 0.661583, 0.015415, 0.0649011, 0.0124954, 0.157301, 10.7727, 8.77273, 11.7727, 7.86364, 12.6818, 6.95455, 0.113523
987, 973, 9.21429, 8.76099, 0.0154089, 0.155722, 0.012337, 0.0113452, 0.18514, 0.00969256, 0.00990615, 0.368708, 0.202468, 0.0457054, 1.17521, 0.345822, 0.171236, 0.0423428, 3.54736, 0.439697, 0.00239599, 0.102698, 0.298682, 0.73358, 0.640802, 0.0150043, 0.0630605, 0.011881, 0.154779, 9.33929, 8.19643, 9.91071, 7.625, 10.4464, 7.08929, 0.810367
1015, 1001, 8.89286, 9.06446, 0.0148331, 0.149354, 0.011882, 0.0111472, 0.181707, 0.00948871, 0.0100531, 0.384968, 0.211151, 0.0479187, 1.21606, 0.362829, 0.177187, 0.0428393, 3.68138, 0.485895, 0.00250375, 0.114531, 0.329766, 0.76211, 0.623378, 0.014649, 0.0614999, 0.0116194, 0.145709, 9.66071, 8.48214, 10.2321, 7.91071, 10.7679, 7.375, -0.301597
1043, 1029, 9.28571, 8.83394, 0.0147378, 0.147865, 0.0117616, 0.00984132, 0.163497, 0.00848316, 0.00902282, 0.393358, 0.214734, 0.0493825, 1.25142, 0.37331, 0.18234, 0.0431987, 3.49921, 0.461934, 0.0024253, 0.109419, 0.322707, 0.72619, 0.6135, 0.0142141, 0.0599742, 0.0113968, 0.140012, 9.41071, 8.26786, 9.98214, 7.69643, 10.5179, 7.16071, 0.804314
1071, 1057, 9.78571, 8.99061, 0.0167089, 0.168264, 0.0130201, 0.00979209, 0.163612, 0.00852434, 0.00943659, 0.395795, 0.227948, 0.0523141, 1.31265, 0.398601, 0.191262, 0.0437736, 3.50489, 0.475113, 0.00244599, 0.109973, 0.326207, 0.732487, 0.605363, 0.0140725, 0.0590773, 0.0110821, 0.1382, 9.58929, 8.41071, 10.125, 7.83929, 10.6964, 7.30357, 1.40316
