xunit, xunit_low, fitted_data, total_model, Nnbb_bege, Ac228_holders, Co60_cables, K40_close, K42_inside_ms, K42_nplus_coax, K42_outside_ms, Th228_cables, U238_cables, alpha_high_energy_bege, 1sig_p, 1sig_m, 2sig_p, 2sig_m, 3sig_p, 3sig_m, norm_pois_res
68.5, 68, 638, 6.78176, 5.06053, 0.0687004, 0.000288757, 0.248421, 0.118451, 0.0199819, 0.273387, 0.0504605, 0.804786, 0.136758, 9.5, 3.5, 12.5, 1.5, 15.5, 0.5, 3.20787
69.5, 69, 620, 6.91699, 5.2614, 0.0670891, 0.000259881, 0.158086, 0.125192, 0.00908269, 0.331509, 0.0502181, 0.777285, 0.136869, 9.5, 3.5, 12.5, 1.5, 16.5, 0.5, 3.21178
70.5, 70, 625, 6.92276, 5.25435, 0.0678948, 0.000346509, 0.124211, 0.109784, 0.0163489, 0.353035, 0.051917, 0.807966, 0.136913, 9.5, 3.5, 12.5, 1.5, 16.5, 0.5, 3.21194
71.5, 71, 648, 7.03747, 5.16713, 0.0679924, 0.00020213, 0.271005, 0.109784, 0.0181654, 0.303524, 0.0538926, 0.908975, 0.136799, 9.5, 3.5, 12.5, 1.5, 16.5, 0.5, 3.21518
72.5, 72, 646, 7.23947, 5.26052, 0.0699944, 8.66272e-05, 0.372632, 0.131933, 0.0145323, 0.370256, 0.0560503, 0.826741, 0.136724, 9.5, 3.5, 12.5, 1.5, 16.5, 0.5, 3.22073
73.5, 73, 700, 7.04673, 5.25082, 0.0716789, 0.000259881, 0.158086, 0.124711, 0.0181654, 0.329356, 0.0540138, 0.902827, 0.13681, 9.5, 3.5, 12.5, 1.5, 16.5, 0.5, 3.21544
74.5, 74, 693, 7.09428, 5.33893, 0.0734611, 0.000259881, 0.225837, 0.121822, 0.023615, 0.305677, 0.0530969, 0.814659, 0.136928, 9.5, 3.5, 12.5, 1.5, 16.5, 0.5, 3.21676
75.5, 75, 739, 7.21718, 5.30721, 0.0721672, 0.000317633, 0.237129, 0.105932, 0.0181654, 0.426225, 0.0519978, 0.861225, 0.136814, 9.5, 3.5, 12.5, 1.5, 16.5, 0.5, 3.22012
76.5, 76, 647, 7.05287, 5.27814, 0.0757316, 0.000346509, 0.158086, 0.117488, 0.0217985, 0.370256, 0.0520047, 0.842315, 0.136712, 9.5, 3.5, 12.5, 1.5, 16.5, 0.5, 3.21561
77.5, 77, 709, 7.31912, 5.32395, 0.0763664, 0.000144379, 0.271005, 0.117488, 0.0163489, 0.430531, 0.056529, 0.889909, 0.136855, 10.5, 4.5, 13.5, 2.5, 16.5, 0.5, 3.22286
78.5, 78, 681, 7.26278, 5.41117, 0.0768302, 0.000173254, 0.18067, 0.11171, 0.0254315, 0.385325, 0.0566365, 0.878117, 0.136716, 9.5, 3.5, 12.5, 1.5, 16.5, 0.5, 3.22135
79.5, 79, 707, 7.27903, 5.35478, 0.0780021, 0.000231006, 0.225837, 0.128081, 0.0181654, 0.391783, 0.055949, 0.889541, 0.136655, 9.5, 3.5, 12.5, 1.5, 16.5, 0.5, 3.22179
80.5, 80, 704, 7.42545, 5.35743, 0.0795646, 0.000259881, 0.225837, 0.116525, 0.0181654, 0.436989, 0.0538522, 1.00019, 0.136638, 10.5, 4.5, 13.5, 2.5, 16.5, 0.5, 3.22566
81.5, 81, 744, 7.61369, 5.54949, 0.0810782, 0.000231006, 0.214545, 0.115562, 0.023615, 0.464973, 0.0555984, 0.969719, 0.13888, 10.5, 4.5, 13.5, 2.5, 16.5, 0.5, 3.2305
82.5, 82, 710, 7.5782, 5.55654, 0.079296, 0.000259881, 0.124211, 0.130489, 0.0290646, 0.469278, 0.0521327, 1.00027, 0.136665, 10.5, 4.5, 13.5, 2.5, 16.5, 0.5, 3.2296
83.5, 83, 741, 7.66292, 5.6464, 0.0840567, 0.000317633, 0.225837, 0.116044, 0.023615, 0.434836, 0.0540816, 0.941093, 0.136644, 10.5, 4.5, 13.5, 2.5, 16.5, 0.5, 3.23174
84.5, 84, 718, 7.73747, 5.65873, 0.0868155, 0.00020213, 0.225837, 0.136748, 0.023615, 0.406851, 0.0520786, 1.00575, 0.140839, 10.5, 4.5, 13.5, 2.5, 17.5, 0.5, 3.2336
85.5, 85, 729, 7.73151, 5.60235, 0.0903555, 0.000259881, 0.18067, 0.105932, 0.0217985, 0.5274, 0.0550861, 1.01043, 0.137235, 10.5, 4.5, 13.5, 2.5, 17.5, 0.5, 3.23345
86.5, 86, 729, 7.77548, 5.61644, 0.0890615, 0.000173254, 0.158086, 0.108821, 0.0163489, 0.503721, 0.0535755, 1.0909, 0.138351, 10.5, 4.5, 13.5, 2.5, 17.5, 0.5, 3.23454
87.5, 87, 712, 7.8621, 5.62702, 0.0908682, 0.000346509, 0.214545, 0.123266, 0.0199819, 0.5274, 0.0597988, 1.05975, 0.139126, 10.5, 4.5, 13.5, 2.5, 17.5, 0.5, 3.23666
88.5, 88, 727, 7.99825, 5.76357, 0.0940175, 0.000288757, 0.169378, 0.112192, 0.0326977, 0.544621, 0.0581807, 1.0868, 0.136499, 10.5, 4.5, 14.5, 2.5, 17.5, 0.5, 3.23994
89.5, 89, 767, 7.95733, 5.69573, 0.0968984, 0.00020213, 0.18067, 0.112673, 0.0199819, 0.516637, 0.0560366, 1.14212, 0.13638, 10.5, 4.5, 14.5, 2.5, 17.5, 0.5, 3.23896
90.5, 90, 710, 8.048, 5.71071, 0.0968739, 0.00020213, 0.169378, 0.112673, 0.0363308, 0.548926, 0.0574055, 1.17912, 0.136375, 10.5, 4.5, 14.5, 2.5, 17.5, 0.5, 3.24112
91.5, 91, 762, 7.86924, 5.63759, 0.100438, 0.000173254, 0.135502, 0.109784, 0.0254315, 0.613506, 0.0577965, 1.05261, 0.136406, 10.5, 4.5, 13.5, 2.5, 17.5, 0.5, 3.23684
92.5, 92, 716, 8.19342, 5.7715, 0.0968007, 0.000317633, 0.248421, 0.103524, 0.023615, 0.596285, 0.0583019, 1.15829, 0.136358, 10.5, 4.5, 14.5, 2.5, 17.5, 0.5, 3.24451
93.5, 93, 720, 8.30847, 5.91687, 0.102465, 0.000346509, 0.271005, 0.112673, 0.0217985, 0.572606, 0.0566098, 1.11772, 0.136382, 10.5, 4.5, 14.5, 2.5, 17.5, 0.5, 3.24714
94.5, 94, 718, 8.47659, 5.87194, 0.10371, 0.000231006, 0.271005, 0.108821, 0.023615, 0.639338, 0.0578369, 1.26322, 0.136878, 11.5, 5.5, 14.5, 2.5, 18.5, 0.5, 3.25091
95.5, 95, 735, 8.41167, 5.95739, 0.101952, 0.000375384, 0.135502, 0.116525, 0.0217985, 0.635033, 0.0633726, 1.24142, 0.138295, 11.5, 5.5, 14.5, 2.5, 17.5, 0.5, 3.24947
96.5, 96, 722, 8.55472, 5.87898, 0.104222, 0.000259881, 0.282297, 0.123266, 0.0217985, 0.721139, 0.0576143, 1.22874, 0.136406, 11.5, 5.5, 14.5, 2.5, 18.5, 0.5, 3.25263
97.5, 97, 720, 8.44271, 5.87634, 0.102196, 0.000259881, 0.383923, 0.100635, 0.0254315, 0.60059, 0.0565221, 1.15992, 0.136888, 11.5, 5.5, 14.5, 2.5, 18.5, 0.5, 3.25016
98.5, 98, 697, 8.49043, 5.94066, 0.107689, 0.000317633, 0.203254, 0.107858, 0.0181654, 0.667322, 0.0520718, 1.25618, 0.136917, 11.5, 5.5, 14.5, 2.5, 18.5, 0.5, 3.25121
99.5, 99, 708, 8.56607, 5.98911, 0.112035, 0.000231006, 0.124211, 0.106413, 0.0272481, 0.682391, 0.0599001, 1.32804, 0.136496, 11.5, 5.5, 14.5, 2.5, 18.5, 0.5, 3.25288
100.5, 100, 746, 8.48078, 5.90277, 0.114843, 0.000259881, 0.124211, 0.103043, 0.023615, 0.736207, 0.0627659, 1.27656, 0.136504, 11.5, 5.5, 14.5, 2.5, 18.5, 0.5, 3.251
101.5, 101, 738, 8.88815, 6.16708, 0.11079, 0.000346509, 0.169378, 0.108821, 0.0272481, 0.708223, 0.0568864, 1.40271, 0.136674, 11.5, 5.5, 15.5, 3.5, 18.5, 0.5, 3.25975
102.5, 102, 738, 8.93383, 6.14769, 0.109984, 0.000433136, 0.271005, 0.114118, 0.0217985, 0.727597, 0.0607835, 1.34398, 0.136444, 11.5, 5.5, 15.5, 3.5, 19.5, 1.5, 3.2607
103.5, 103, 682, 8.88213, 6.07105, 0.108519, 0.000231006, 0.259713, 0.107858, 0.0254315, 0.699612, 0.0621523, 1.41116, 0.136402, 11.5, 5.5, 15.5, 3.5, 18.5, 0.5, 3.25962
104.5, 104, 737, 8.7765, 5.95123, 0.113134, 0.000231006, 0.18067, 0.103524, 0.0272481, 0.762039, 0.0636492, 1.43832, 0.136459, 11.5, 5.5, 14.5, 2.5, 18.5, 0.5, 3.2574
105.5, 105, 661, 9.1662, 6.2957, 0.117162, 0.000288757, 0.259713, 0.0991908, 0.0181654, 0.749123, 0.059644, 1.43075, 0.136456, 12.5, 5.5, 15.5, 3.5, 19.5, 1.5, 3.26544
106.5, 106, 628, 9.04694, 6.18381, 0.115648, 0.000346509, 0.225837, 0.115562, 0.0308812, 0.742665, 0.0608711, 1.43482, 0.136494, 11.5, 5.5, 15.5, 3.5, 19.5, 1.5, 3.26302
107.5, 107, 657, 9.00103, 6.22522, 0.116161, 0.000462011, 0.146794, 0.103043, 0.0254315, 0.74697, 0.055686, 1.44462, 0.136644, 11.5, 5.5, 15.5, 3.5, 19.5, 1.5, 3.26208
108.5, 108, 675, 9.40944, 6.27632, 0.11538, 0.000346509, 0.271005, 0.101117, 0.0326977, 0.897656, 0.0563804, 1.52165, 0.136883, 12.5, 5.5, 16.5, 3.5, 19.5, 1.5, 3.27024
109.5, 109, 626, 9.37176, 6.30187, 0.116844, 0.000375384, 0.248421, 0.116044, 0.0181654, 0.869672, 0.0604061, 1.5029, 0.137061, 12.5, 5.5, 16.5, 3.5, 19.5, 1.5, 3.26951
110.5, 110, 668, 9.19896, 6.26134, 0.11931, 0.00040426, 0.214545, 0.10208, 0.023615, 0.809397, 0.058134, 1.47309, 0.137044, 12.5, 5.5, 15.5, 3.5, 19.5, 1.5, 3.26609
111.5, 111, 625, 9.40301, 6.29482, 0.122362, 0.000346509, 0.237129, 0.102561, 0.0217985, 0.848145, 0.0579649, 1.5809, 0.136978, 12.5, 5.5, 16.5, 3.5, 19.5, 1.5, 3.27012
112.5, 112, 605, 9.37463, 6.3979, 0.122508, 0.00020213, 0.18067, 0.0982278, 0.0399639, 0.826619, 0.0604061, 1.5112, 0.136937, 12.5, 5.5, 16.5, 3.5, 19.5, 1.5, 3.26956
113.5, 113, 598, 9.38386, 6.26134, 0.128197, 0.000375384, 0.237129, 0.106413, 0.0181654, 0.869672, 0.062759, 1.56296, 0.136844, 12.5, 5.5, 16.5, 3.5, 19.5, 1.5, 3.26974
114.5, 114, 667, 9.69527, 6.44107, 0.131883, 0.00020213, 0.248421, 0.0895606, 0.0290646, 0.947167, 0.0581807, 1.61287, 0.13685, 12.5, 5.5, 16.5, 3.5, 20.5, 1.5, 3.27569
115.5, 115, 608, 9.73041, 6.49305, 0.134667, 0.000288757, 0.237129, 0.115562, 0.0308812, 0.914877, 0.0525237, 1.61465, 0.136777, 12.5, 5.5, 16.5, 3.5, 20.5, 1.5, 3.27635
116.5, 116, 605, 9.82681, 6.54415, 0.138353, 0.000346509, 0.191962, 0.104487, 0.0345142, 1.00529, 0.0605274, 1.6105, 0.136682, 13.5, 6.5, 16.5, 3.5, 20.5, 1.5, 3.27814
117.5, 117, 579, 9.68775, 6.48688, 0.14182, 0.000317633, 0.214545, 0.100154, 0.023615, 0.841687, 0.0648695, 1.67716, 0.136699, 12.5, 5.5, 16.5, 3.5, 20.5, 1.5, 3.27555
118.5, 118, 586, 10.034, 6.59965, 0.141234, 0.00020213, 0.225837, 0.115562, 0.0508631, 1.05049, 0.0582347, 1.65528, 0.136669, 13.5, 6.5, 16.5, 3.5, 20.5, 1.5, 3.28191
119.5, 119, 650, 9.83696, 6.50098, 0.147581, 0.000288757, 0.225837, 0.101598, 0.0345142, 0.975152, 0.0591181, 1.65528, 0.136604, 13.5, 6.5, 16.5, 3.5, 20.5, 1.5, 3.27832
120.5, 120, 637, 9.79563, 6.51948, 0.145702, 0.000375384, 0.169378, 0.0987093, 0.0308812, 0.936404, 0.0589969, 1.69912, 0.136584, 13.5, 6.5, 16.5, 3.5, 20.5, 1.5, 3.27756
121.5, 121, 611, 10.0549, 6.77321, 0.148192, 0.000288757, 0.259713, 0.100154, 0.0326977, 0.914877, 0.0588489, 1.63036, 0.136577, 13.5, 6.5, 16.5, 3.5, 20.5, 1.5, 3.28228
122.5, 122, 586, 9.89913, 6.60934, 0.14868, 0.000288757, 0.146794, 0.0900421, 0.0345142, 0.934251, 0.0554299, 1.74316, 0.136622, 13.5, 6.5, 16.5, 3.5, 20.5, 1.5, 3.27946
123.5, 123, 601, 10.0697, 6.65075, 0.151561, 0.00040426, 0.259713, 0.0919682, 0.0272481, 0.962236, 0.0580128, 1.73121, 0.136545, 13.5, 6.5, 16.5, 3.5, 20.5, 1.5, 3.28254
124.5, 124, 556, 10.0663, 6.55913, 0.150047, 0.000375384, 0.237129, 0.0914867, 0.0181654, 1.0548, 0.0575, 1.7611, 0.136534, 13.5, 6.5, 16.5, 3.5, 20.5, 1.5, 3.28248
125.5, 125, 507, 10.4778, 6.89479, 0.15554, 0.00060639, 0.203254, 0.117007, 0.0254315, 1.10001, 0.0549108, 1.78981, 0.136403, 13.5, 6.5, 17.5, 4.5, 21.5, 1.5, 3.28966
126.5, 126, 576, 10.3348, 6.79347, 0.158275, 0.000519763, 0.248421, 0.0938942, 0.0363308, 0.98161, 0.0568392, 1.82896, 0.136501, 13.5, 6.5, 17.5, 4.5, 20.5, 1.5, 3.28721
