xunit, xunit_low, fitted_data, total_model, Nnbb_coax, Ac228_holders, Co60_cables, K40_close, K40_far, K42_close_coax, K42_far, K42_inside_ms, Th228_cables, U238_cables, alpha_high_energy_coax, 1sig_p, 1sig_m, 2sig_p, 2sig_m, 3sig_p, 3sig_m, norm_pois_res
1360, 1355, 510, 461.141, 427.078, 0.153488, 0.0204168, 12.2834, 6.41923, 2.87042, 10.6, 0.64128, 0.0669214, 0.241314, 0.766776, 32.2333, 29.3, 33.6333, 27.8333, 35.0333, 26.4333, -13.744
1370, 1365, 413, 440.266, 403.286, 0.157747, 0.0194005, 14.063, 7.28911, 2.88631, 10.8126, 0.656245, 0.0663499, 0.253075, 0.775971, 30.7667, 27.9, 32.1667, 26.5, 33.5667, 25.1667, -13.0712
1380, 1375, 418, 422.215, 382.645, 0.180704, 0.0170987, 15.9109, 7.89103, 2.91581, 10.9136, 0.643151, 0.0679244, 0.244799, 0.784434, 29.5667, 26.7667, 30.9, 25.3667, 32.2333, 24.0333, -13.1018
1390, 1385, 390, 405.497, 362.405, 0.27781, 0.0155443, 17.7511, 8.37257, 2.86816, 11.6165, 0.688044, 0.0716991, 0.638567, 0.791876, 28.4333, 25.6333, 29.7667, 24.3, 31.0333, 23.0333, -12.3403
1400, 1395, 396, 381.679, 341.187, 0.532352, 0.0151258, 15.0021, 7.55318, 3.17449, 12.3678, 0.695838, 0.0745541, 0.277468, 0.799579, 26.7667, 24.1, 28.1, 22.8333, 29.3667, 21.5667, -13.0872
1410, 1405, 332, 364.205, 321.895, 0.171321, 0.0137208, 15.873, 8.00365, 3.19037, 13.1569, 0.735742, 0.086235, 0.269191, 0.809837, 25.5667, 22.9667, 26.8333, 21.7, 28.1, 20.5, -11.7482
1420, 1415, 367, 345.401, 301.526, 0.433316, 0.01396, 16.2441, 7.9221, 3.43543, 13.824, 0.745407, 0.0913472, 0.34629, 0.818987, 24.3, 21.7667, 25.5, 20.5, 26.7667, 19.3, -11.2134
1430, 1425, 343, 327.756, 282.871, 0.173118, 0.0149464, 16.2895, 8.11239, 3.53301, 14.8426, 0.744471, 0.0899056, 0.258737, 0.826864, 23.1, 20.6333, 24.3, 19.4333, 25.4333, 18.2333, -10.4814
1440, 1435, 327, 307.205, 263.388, 0.192992, 0.0153051, 16.3501, 8.81916, 3.21533, 13.3232, 0.707373, 0.0894522, 0.270063, 0.833931, 21.7, 19.3, 22.8333, 18.1, 23.9667, 16.9667, -10.6237
1450, 1445, 300, 291.374, 246.447, 0.188911, 1.05342, 16.4864, 8.70654, 3.19945, 13.3274, 0.740419, 0.0972532, 0.284001, 0.843379, 20.5667, 18.2333, 21.7, 17.1, 22.8333, 16.0333, -11.2113
