xunit, xunit_low, fitted_data, total_model, Ac228_holders, Co60_cables, K40_close, K40_far, K42_close_coax, K42_far, K42_inside_ms, Th228_cables, U238_cables, 1sig_p, 1sig_m, 2sig_p, 2sig_m, 3sig_p, 3sig_m, norm_pois_res
33328.3, 33284.3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0333333, 0, 0.0333333, 0, 0.0333333, 0, 0
33416.3, 33372.3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0333333, 0, 0.0333333, 0, 0.0333333, 0, 0
33504.4, 33460.4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0333333, 0, 0.0333333, 0, 0.0333333, 0, 0
33592.4, 33548.4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0333333, 0, 0.0333333, 0, 0.0333333, 0, 0
33680.4, 33636.4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0333333, 0, 0.0333333, 0, 0.0333333, 0, 0
33768.5, 33724.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0333333, 0, 0.0333333, 0, 0.0333333, 0, 0
33856.5, 33812.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0333333, 0, 0.0333333, 0, 0.0333333, 0, 0
33944.6, 33900.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0333333, 0, 0.0333333, 0, 0.0333333, 0, 0
34032.6, 33988.6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0333333, 0, 0.0333333, 0, 0.0333333, 0, 0
34120.6, 34076.6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0333333, 0, 0.0333333, 0, 0.0333333, 0, 0
34208.7, 34164.6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0333333, 0, 0.0333333, 0, 0.0333333, 0, 0
34296.7, 34252.7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0333333, 0, 0.0333333, 0, 0.0333333, 0, 0
34384.7, 34340.7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0333333, 0, 0.0333333, 0, 0.0333333, 0, 0
34472.8, 34428.8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0333333, 0, 0.0333333, 0, 0.0333333, 0, 0
34560.8, 34516.8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0333333, 0, 0.0333333, 0, 0.0333333, 0, 0
34648.8, 34604.8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0333333, 0, 0.0333333, 0, 0.0333333, 0, 0
34736.9, 34692.9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0333333, 0, 0.0333333, 0, 0.0333333, 0, 0
